SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-15-2022,Condo/Co-op,84-770 Kili Dr #1440,Waianae,HI,96792,159000,0.0,1.0,Makaha,515.0,612759.0,1970.0,,309.0,704.0,Sold,,,https://www.redfin.com/HI/Waianae/84-770-Kili-Dr-96792/unit-1440/home/88563566,HiCentral MLS,202203123.0,N,Y,21.4828096,-158.2036235
PAST SALE,August-31-2022,Condo/Co-op,85-175 Farrington Hwy Unit C112,Waianae,HI,96792,160000,0.0,1.0,Waianae,361.0,242019.0,1974.0,,443.0,498.0,Sold,,,https://www.redfin.com/HI/Waianae/85-175-Farrington-Hwy-96792/unit-C112/home/63797966,HiCentral MLS,202208655.0,N,Y,21.4574669,-158.2025985
PAST SALE,September-30-2022,Single Family Residential,16-743 Wao Kele Rd (road G),Mountain View,HI,96771,160000,2.0,1.0,Hawaiian Acres,768.0,130680.0,1990.0,,208.0,,Sold,,,https://www.redfin.com/HI/Mountain-View/16-743-Wao-Kele-Rd-road-G-96771/home/178988118,HI Information Service,664218.0,N,Y,19.50043992,-155.02229657
PAST SALE,September-28-2022,Vacant Land,Lot Unit 7,Papaikou,HI,96781,159000,,,Papaikou,,47480.0,,,,,Sold,,,https://www.redfin.com/HI/Papaikou/Lot-96781/unit-7/home/174972343,HI Information Service,661374.0,N,Y,19.80153281,-155.10860999
PAST SALE,August-25-2022,Condo/Co-op,4999 Kahala Ave #271,Honolulu,HI,96816,160000,2.0,2.0,Waialae G/c,1258.0,291024.0,1966.0,,127.0,1190.0,Sold,,,https://www.redfin.com/HI/Honolulu/4999-Kahala-Ave-96816/unit-271/home/63764606,HiCentral MLS,202209911.0,N,Y,21.2713715,-157.7752437
PAST SALE,October-12-2022,Vacant Land,_,Mountain View,HI,96771,160000,,,Olaa Reservation Lots,,509652.0,,,,,Sold,,,https://www.redfin.com/HI/Mountain-View/Unknown-96771/home/181881605,HI Information Service,664972.0,N,Y,19.55652118,-155.10702821
PAST SALE,August-31-2022,Condo/Co-op,85-175 Farrington Hwy Unit C112,Waianae,HI,96792,160000,0.0,1.0,Waianae,361.0,242019.0,1974.0,,443.0,498.0,Sold,,,https://www.redfin.com/HI/Waianae/85-175-Farrington-Hwy-96792/unit-C112/home/63797966,HiCentral MLS,202208655.0,N,Y,21.4574669,-158.2025985
PAST SALE,September-30-2022,Single Family Residential,16-743 Wao Kele Rd (road G),Mountain View,HI,96771,160000,2.0,1.0,Hawaiian Acres,768.0,130680.0,1990.0,,208.0,,Sold,,,https://www.redfin.com/HI/Mountain-View/16-743-Wao-Kele-Rd-road-G-96771/home/178988118,HI Information Service,664218.0,N,Y,19.50043992,-155.02229657
PAST SALE,August-25-2022,Condo/Co-op,4999 Kahala Ave #271,Honolulu,HI,96816,160000,2.0,2.0,Waialae G/c,1258.0,291024.0,1966.0,,127.0,1190.0,Sold,,,https://www.redfin.com/HI/Honolulu/4999-Kahala-Ave-96816/unit-271/home/63764606,HiCentral MLS,202209911.0,N,Y,21.2713715,-157.7752437
PAST SALE,October-12-2022,Vacant Land,_,Mountain View,HI,96771,160000,,,Olaa Reservation Lots,,509652.0,,,,,Sold,,,https://www.redfin.com/HI/Mountain-View/Unknown-96771/home/181881605,HI Information Service,664972.0,N,Y,19.55652118,-155.10702821
